"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Database-Driven Testing Dinámico","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","verifyArtistNameFromDatabase"
"","1","Log student out’ button should be present on the homepage, next to ‘Profile’ button","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","logoutUIVerificationTest"
"","1","User should be able to log out after successful login, User should be navigated to the Login page after logging out","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","logoutAfterUpdateTest"
"","2","INTERNSHIP-108252 Koel app | Log in","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginwithcorrectPasswordTest"
"","1","setup","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","broken","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","setup"
"","1","loginWithDeepLink","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginWithDeepLink"
"","0","renamePlaylistFlow","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","renamePlaylistFlow"
"","1","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","verifyInfoPanelAndNavigation"
"","1","loginValidationMessages","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginValidationMessages"
"","0","User should be able to log out after updating email and password","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","updateProfile"
"","0","loginValidationMessages","Suite Optimizada","Fri Feb 20 18:15:22 UTC 2026","skipped","Fri Feb 20 18:15:22 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginValidationMessages"
